Header,Description,Units
p_EmissionRate,Emission rate reported by performer.,g/hr
p_EmissionRateLower,Lower limit of emission rate reported by performer (emission rate - uncertainty).,g/hr
p_EmissionRateUpper,Upper limit of emission rate reported by performer (emission rate + uncertainty).,g/hr
p_EmissionSourceID,Emission source ID reported by performer.,-
p_EmissionStartDatetime,Date time (UTC) the emission source started as reported by performer.,YYYY-MM-DD hh:mm:ss (UTC)
p_EquipmentFacility,Facility that the equipment unit reported by the performer is located on.,-
p_EquipmentGroup,Equipment group within which the equipment unit reported by the performer is located.,-
p_EquipmentUnit,Equipment unit reported by the performer.,-
p_FirstDatetimeSent,Date time (UTC) the first detection report was sent by performer for the reported emission source ID.,YYYY-MM-DD hh:mm:ss (UTC)
p_Gas,The gas the performer reported.  Emission rates are interpretted as g of this gas per hour.,-
p_Latitude1,Latitude of emission location or corner of bounding box as reported by performer.,degrees
p_Latitude2,Latitude of 2nd corner of bounding box as reported by performer.,degrees
p_Longitude1,Longitude of emission location or corner of bounding box as reported by performer.,degrees
p_Longitude2,Longitude of second corner of bounding box as reported by performer.,degrees
p_ReportIDs,"List of detection report IDs with the emission source ID, p_EmissionSourceID.  The time at which the first detection report was sent is used for p_FirstDatetimeSent. All other performer data fields are taken from the last detection report. ",-
tc_Altitude,Altitude of emission source at the test center measured using WGS-84 height above elipsoid (HAE).,m
tc_C1_(kg*hrs)/hr:,Total mass released over the control release duration (Kg methane). This was obtained by multiplying tc_C1MassFlow (in kg/hr) by control release duration; tc_ExpDurationHrs (in hrs).,kg CH4
tc_C1_(kg*mps)/hr:,The metered flowrate in kg/hr methane multiplied by average wind speed (m/s),(kg/hr)*(m/s)
tc_C1_kg/(hr*mps):,The metered flowrate in kg/hr methane normalized by average wind speed (m/s).,(kg/hr)/(m/s)
tc_C1MassFlow,Average mass flowrate of methane metered by the test center when the emission point was operational. ,g/hr
tc_C1MassFlowUncertainty,Uncertainty of mass flowrate of methane metered by the test center when the emission point was operational. ,g/hr
tc_C2MassFlow,Average mass flowrate of ethane metered by the test center when the emission point was operational. ,g/hr
tc_C2MassFlowUncertainty,Uncertainty of mass flowrate of ethane metered by the test center when the emission point was operational. ,g/hr
tc_C3MassFlow,Average mass flowrate of propane metered by the test center when the emission point was operational. ,g/hr
tc_C3MassFlowUncertainty,Uncertainty of mass flowrate of propane metered by the test center when the emission point was operational. ,g/hr
tc_C4MassFlow,Average mass flowrate of butane metered by the test center when the emission point was operational. ,g/hr
tc_C4MassFlowUncertainty,Uncertainty of mass flowrate of butane metered by the test center when the emission point was operational. ,g/hr
tc_C5MassFlow,Average mass flowrate of pentane metered by the test center when the emission point was operational. ,g/hr
tc_C5MassFlowUncertainty,Uncertainty of mass flowrate of pentane metered by the test center when the emission point was operational. ,g/hr
tc_C6MassFlow,Average mass flowrate of hexane + metered by the test center when the emission point was operational. ,g/hr
tc_C6MassFlowUncertainty,Uncertainty of mass flowrate of hexane + metered by the test center when the emission point was operational. ,g/hr
tc_Classification,"Classification of controlled release; TP = True Positive, FN = False Negative, FP = False Positive. ",-
tc_DetLevel,"Precision of TP detections; Equipment Unit, Equipment Group, Facility",-
tc_EPBFE,"Emission point best flow estimate (EPBFE) during release.  The BFE may be determined from a calibration release, or the release itself. ",slpm whole gas
tc_EPBFU,"Emission point best flow uncertainty (EPBFU) during release. The BFE may be determined from a calibration release, or the release itself. ",slpm whole gas
tc_EPDutyCycle,The fraction of the test that the emission point was ON (emitting). ,-
